agent,episode,seed,score,max_tile,steps,won,first_512,first_1024,first_2048,actions
expectimax,0,191664963,3508,256,296,False,,,,"1,0,1,0,1,0,1,0,1,0,1,1,1,1,2,1,2,1,0,1,0,1,1,0,1,0,1,2,0,1,1,2,1,0,1,1,0,2,1,1,0,1,1,1,0,1,1,1,2,1,2,2,1,2,1,2,1,2,1,1,2,0,1,2,1,1,2,1,2,0,2,1,2,1,1,2,1,1,2,1,2,1,2,1,0,0,1,2,1,1,0,1,1,1,1,2,1,0,1,2,1,1,0,1,2,1,1,0,2,1,1,2,1,1,2,1,0,0,0,1,0,0,1,1,1,2,1,1,2,1,1,1,1,2,1,0,1,0,1,2,1,1,2,1,1,1,0,2,1,1,0,0,1,1,2,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,2,2,1,1,1,0,1,2,1,2,1,2,2,1,2,1,1,0,1,2,2,1,1,0,1,2,1,0,1,1,0,1,1,1,2,2,2,1,1,1,1,0,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,2,1,1,2,1,1,1,2,2,1,2,1,0,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,0,1,0,1,1,1,0,1,2,1,1,1,0,1,0,0,2,1,0,1,0,0,1,2,2,2,1,0,1,1,1,0,0,1,1"
expectimax,1,1662057957,3500,256,299,False,,,,"1,1,0,0,1,0,0,1,1,2,1,0,1,0,1,1,0,0,1,1,1,0,1,1,2,1,0,1,0,1,1,1,1,1,1,0,2,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,2,1,0,1,2,1,0,0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,0,1,0,1,2,1,0,2,0,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,2,1,1,2,1,2,0,1,0,0,1,0,0,0,1,2,1,2,1,0,1,2,1,0,2,1,0,0,2,0,2,1,2,1,0,1,2,1,0,2,0,1,1,2,1,1,1,1,0,2,0,0,1,1,0,1,2,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,2,2,1,2,1,1,1,1,1,1,0,2,2,2,1,1,0,1,0,1,2,1,1,0,0,1,1,2,1,1,2,1,1,0,1,2,1,1,1,0,0,0,2,0,1,0,1,0,0,0,0,2,1,2,1,1,0,2,0,1,1,0,1,0,1,0,2,0,1,1,0,1,0,2,1,0,1,0,0,0,0,1,1,2,1,0,1,2,2,2,2,2,2,2,0,1,2"
expectimax,2,1405681631,5512,512,386,False,252.0,,,"0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,2,1,2,0,1,0,2,1,1,1,1,2,1,1,1,1,0,0,1,0,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,1,1,2,1,1,1,0,2,1,1,2,1,1,0,1,2,1,2,1,2,2,1,1,0,0,1,2,1,2,1,2,2,1,2,2,0,1,2,1,2,2,1,1,2,0,1,2,1,0,2,2,1,1,2,1,1,0,2,1,2,1,1,2,1,0,1,1,0,1,2,2,2,1,1,0,1,2,2,1,2,2,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,2,1,2,1,2,2,1,0,1,1,0,2,1,2,1,2,1,1,1,0,1,0,0,1,0,1,2,1,2,1,1,0,1,2,1,0,2,1,2,1,2,2,2,1,2,2,1,1,2,0,1,2,1,1,1,1,0,1,0,1,2,1,2,0,2,1,2,2,1,1,0,1,0,0,1,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1,1,0,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,0,1,1,1,2,2,1,1,1,1,2,1,1,2,0,1,0,0,1,2,1,2,1,1,2,1,1,1,1,1,2,2,0,1,2,2,1,1,2,0,1,2,0,1,0,1,2,1,1,0,1,1,2,2,1,0,1,0,1,0,0,2,1,0,2,1,2,1,1,1,2,1,0,1,2,1,0,1,0,1,0,2,0,1,1,0,0,0,0,1,2,2,2,2"
expectimax,3,942484272,8824,512,598,False,273.0,,,"1,0,1,1,0,2,1,0,1,0,0,1,0,1,1,1,0,1,2,0,1,1,1,0,1,2,1,0,1,1,1,1,0,1,2,1,0,0,1,1,1,0,1,1,1,0,0,1,1,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,2,1,1,0,0,1,2,1,0,0,1,1,1,1,0,0,2,1,0,1,2,0,1,1,0,1,2,1,2,0,2,1,1,2,1,2,1,1,1,2,2,1,0,1,2,0,1,1,2,1,0,2,0,2,1,0,1,2,1,1,0,1,2,2,0,1,1,0,1,1,0,1,0,1,3,1,1,1,1,0,1,0,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,2,1,1,1,0,1,2,2,2,0,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,0,1,1,1,2,2,1,1,2,1,2,2,1,0,1,1,1,0,2,1,2,2,2,1,1,1,2,1,0,1,1,0,1,1,0,0,1,2,2,1,0,0,1,0,2,1,0,2,1,1,1,0,0,1,1,1,0,1,0,2,1,0,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,0,1,1,0,1,1,0,0,1,2,2,2,1,1,0,1,2,1,0,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,0,1,1,2,2,1,2,1,1,1,2,2,1,0,2,1,1,2,2,1,2,2,1,0,1,2,1,2,1,2,1,2,2,2,2,0,1,1,0,2,1,0,1,2,1,0,2,1,1,2,1,2,1,0,1,1,0,1,1,0,2,1,2,0,2,1,0,1,0,1,2,2,1,2,1,1,1,1,2,0,1,3,1,0,1,0,1,0,2,1,0,1,2,1,0,1,1,1,1,0,2,1,2,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,2,0,1,1,1,0,1,2,1,1,2,1,2,0,0,1,1,0,1,2,1,1,1,3,1,2,2,1,1,1,0,1,0,1,1,1,0,1,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,2,0,2,1,0,0,0,0,0,2,1,1,1,0,1,2,0,1,0,2,1,2,0,2,1,2,2,2,1,0,1,1,1,0,0,1,1,3,1,0,1,1,1,1,2,0,2,1,2,1,1,1,2,2,2,2"
expectimax,4,929893137,2208,128,213,False,,,,"1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,1,0,1,0,1,1,1,0,0,1,1,2,0,2,1,0,0,1,0,1,1,1,2,1,1,0,1,2,0,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,0,2,2,2,0,2,0,1,1,2,0,1,2,2,2,1,0,0,1,0,2,0,1,1,1,1,0,1,0,1,0,0,1,2,2,1,1,2,0,1,0,1,2,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,1,1,1,0,0,2,1,1,0,0,1,0,2,1,2,1,0,0,1,2,1,2,1,1,2,1,0,0,0,1,1,1,1,0,2,1,2,1,0,0,0,1,2,1,2,1,2,1,1,2,1,0,1,1,2,1,0,0,1,0,2,2,2,1,0,1,0,0,1,0,2,1,0,1,1,1,0,0,2,0,2,1,2,0,1,0,1"
expectimax,5,1843824992,1404,64,155,False,,,,"1,0,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,0,1,1,0,2,1,1,2,1,0,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,0,1,1,0,2,1,2,2,0,1,1,2,0,2,1,1,1,0,1,3,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,2,1,1,0,1,2,1,1,2,0,2,1,2,1,2,1,0,1,2,1,0,1,2,2,1,0,1,3,1,0,1,1,2,2,0,2,1,1,0,1,0,1,0,0,1,1,1,0,2,0,1,0,1,1,2,1,0,0,0,2,2,2"
expectimax,6,184566854,10400,1024,616,False,298.0,531.0,,"1,0,1,0,0,0,1,0,0,0,1,1,1,2,1,2,0,2,1,1,2,1,0,1,1,1,1,1,2,1,1,2,1,1,0,1,2,2,2,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,2,1,0,1,0,1,1,1,0,2,1,0,1,1,1,0,1,0,0,1,2,1,0,1,0,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,0,2,1,1,2,1,2,1,1,1,1,1,0,1,2,1,1,2,1,0,1,0,1,0,1,2,1,2,2,1,0,1,0,1,2,1,1,1,1,2,0,2,0,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,1,0,1,2,1,0,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,0,1,2,1,1,0,1,2,1,1,1,0,1,1,2,1,0,1,1,1,1,1,0,1,0,0,2,1,1,0,1,1,2,1,2,1,0,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,0,0,1,0,1,1,0,0,1,0,1,0,1,2,1,1,1,0,1,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,1,2,1,1,1,1,2,2,1,0,1,2,1,1,1,0,1,0,0,1,2,2,1,0,1,1,0,1,2,1,1,0,1,2,1,0,1,0,0,2,1,1,0,1,0,0,1,2,2,1,1,2,0,0,1,2,2,1,2,2,0,1,2,1,1,1,2,2,1,2,1,1,0,0,1,1,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,1,2,2,1,1,2,1,2,1,1,1,0,1,2,1,2,1,2,0,1,2,2,1,2,1,0,1,2,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,1,1,1,0,1,1,1,0,1,1,2,2,1,1,2,1,1,1,1,0,1,0,0,1,0,0,1,0,2,1,0,1,2,0,2,1,1,1,1,0,1,1,0,1,2,2,2,1,2,1,2,2,1,1,0,1,1,2,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,2,1,2,1,0,0,1,0,1,0,1,2,1,0,2,1,2,1,0,1,1,2,1,1,1,1,2,1,1,0,1,0,1,1,0,0,1,2,1,2,1,2,1,1,2,0,2,1,2,1,1,2,0,1,1,0,1,1,1,1,1,0,1,1,0,1,2,1,1,0,0,0,2,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,2,1,0,1,1,1,2,2,1,2,1,2,2,2,0,1"
expectimax,7,1497586438,3248,256,268,False,,,,"1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,2,1,2,1,1,0,1,0,1,0,2,1,1,2,1,2,1,1,2,1,0,1,1,1,2,1,2,1,1,0,1,1,2,2,1,1,1,2,2,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,3,1,0,1,1,0,1,1,0,1,0,1,1,2,1,1,0,1,1,1,2,1,0,1,2,0,1,1,2,1,2,2,0,1,1,2,1,1,1,2,1,1,2,1,2,2,0,1,1,2,1,0,0,1,1,1,1,1,1,2,1,1,0,1,2,1,0,1,1,2,1,1,1,1,1,1,1,0,1,0,0,1,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,2,1,0,1,1,2,2,0,1,1,0,1,2,1,0,1,2,0,0,1,0,1,0,0,1,1,2,2,1,0,1,2,1,1,1,0,1,1,2,1,0,1,3,1,0,1,0,0,1,1,2,1,1,1,0,1,0,0,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2"
expectimax,8,432652533,3276,256,275,False,,,,"1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,2,1,0,1,0,2,0,1,1,0,2,1,1,2,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,2,1,0,1,0,1,2,1,2,1,1,1,2,1,0,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,1,1,1,0,2,1,1,0,1,1,0,1,0,1,2,1,1,1,1,0,1,1,0,2,1,1,1,2,1,0,0,1,1,1,1,1,1,1,2,2,1,1,2,1,2,0,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,2,1,2,2,2,1,0,0,1,2,0,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,0,0,0,2,1,0,2,1,1,1,0,1,1,2,1,3,1,0,1,1,0,1,0,1,2,0,1,1,0,2,1,1,2,1,0,0,1,1,2,1,0,1,2,1,0,2,1,2,2,1,0,1,1,1,0,0,1,1,0,0,2,0,2,1,2,0,2,1,0,2,1,0,2,2"
expectimax,9,202244314,6524,512,448,False,301.0,,,"1,0,1,1,0,1,1,3,1,0,1,1,0,0,1,0,1,0,1,2,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,0,1,1,3,1,0,1,1,2,1,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,2,1,0,1,1,1,1,1,2,1,1,0,1,2,2,1,2,1,0,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,0,1,0,0,1,1,0,1,1,0,0,3,1,1,1,1,0,0,1,2,1,1,1,1,0,1,0,1,0,2,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,2,1,1,0,2,1,2,1,2,1,1,1,2,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,2,0,0,1,1,0,1,1,0,0,1,1,2,1,1,1,0,1,0,1,1,1,2,1,1,2,2,0,1,0,1,0,1,1,0,2,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,2,2,1,0,1,1,1,0,2,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,2,0,1,0,2,0,1,1,1,1,0,1,0,1,1,1,2,0,1,0,1,1,1,1,0,1,2,1,2,1,0,1,0,1,1,1,0,1,1,2,1,0,1,0,0,0,1,0,1,2,1,0,1,1,2,1,1,2,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,2,1,0,1,1,0,0,1,1,2,0,1,0,2,1,2,1,0,0,1,1,0,0,1,1,0,0,2,1,2,0,1,0,0"
