agent,episode,seed,score,max_tile,steps,won,first_512,first_1024,first_2048,actions
heuristic,0,191664963,2568,128,232,False,,,,"1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,0,1,0,1,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,1,2,1,0,0,0,2,1,1,2,1,1,1,0,0,1,1,1,1,2,1,2,1,1,2,1,0,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,0,0,1,0,1,1,2,2,1,0,1,2,1,1,0,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,0,1,2,1,2,2,0,1,1,1,2,0,2,1,1,0,1,2,0,1,0,0,2,1,0,1,2,1,2,1,0,1,1,2,1,2,1,0,1,2,2,1,2,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,2,2"
heuristic,1,1662057957,3428,256,289,False,,,,"1,1,0,1,1,0,0,1,1,2,1,0,1,1,1,1,2,1,1,1,1,1,0,1,0,2,0,2,0,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,2,0,1,1,1,1,0,2,2,1,1,1,2,1,0,1,2,1,0,1,2,1,1,1,0,1,1,1,1,0,1,2,0,1,1,1,1,1,1,2,1,2,1,0,1,2,1,1,1,1,1,0,1,1,1,2,1,2,1,1,0,1,1,1,2,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,2,2,1,2,1,1,0,2,1,1,0,1,0,0,1,0,0,2,1,1,1,1,2,2,0,2,1,0,1,1,0,1,2,1,0,2,2,2,2,2,0,1,0,1,1,1,1,1,0,1,2,1,2,0,1,2,1,0,1,2,0,1,0,0,1,0,2,0,1,0,2,0,1,1,2,1,2,2,2,2,1,0,1,0,1,0,1,0,1,0,0,0,2,0,1,0,1,2,1,2,2,2,0,1,0,1,1,2,1,0,1,1,1,0,2,0,1,1,0,2,2,2,1,0,0,1,2,1,1,1,0,2,1,2"
heuristic,2,1405681631,2916,256,241,False,,,,"0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,2,1,1,2,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,2,0,1,1,0,0,1,1,2,1,0,1,0,1,1,2,1,1,2,2,0,1,2,1,1,0,0,1,1,1,1,2,0,1,1,1,2,1,2,2,0,1,1,1,1,1,0,1,1,1,1,1,2,1,0,1,1,1,1,2,1,2,1,2,1,0,2,1,2,1,1,0,1,1,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,2,1,1,1,2,1,0,1,0,1,1,0,1,1,0,2,1,1,0,0,1,1,2,1,1,0,2,1,0,0,1,1,2,1,2,1,0,0,1,2,1,0,2,1,1,1,0,1,1,0,1,2,0,2,1,1,1,1,2,1,1,0,1,0,0,1,1,0,1,1,2,1,2,1,0,1,1,1,2,2,1,2,1,0,2,1,1,0,1,1,0,1,0,1,3,1,2,2,2,0,1,0,1,2,2,2,2,2,2,2"
heuristic,3,942484272,3988,256,321,False,,,,"1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,2,1,0,1,0,0,1,2,1,1,2,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,2,1,1,0,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,0,1,0,1,0,0,1,1,1,2,1,1,1,1,2,1,0,2,1,0,1,1,2,1,2,1,1,1,2,2,1,1,0,1,1,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,2,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,2,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,2,0,0,1,1,0,1,1,1,2,2,1,0,1,1,2,1,1,0,1,0,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,0,1,1,1,2,1,1,3,1,0,0,1,0,0,1,0,0,0,2,1,1,2,2,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,2,2,0,2,1,0,1,2,1,2,1,2,0,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2"
heuristic,4,929893137,5984,512,421,False,269.0,,,"1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,2,1,1,2,1,1,0,1,0,1,1,1,1,1,1,2,1,1,2,0,1,0,1,1,2,1,1,2,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,0,1,2,1,1,2,0,2,1,1,2,1,0,1,2,2,1,1,1,0,0,2,1,2,0,1,0,1,2,1,2,1,1,1,1,1,0,1,0,2,1,1,0,2,1,1,0,1,2,0,1,0,1,1,0,1,0,1,1,1,2,2,1,0,1,1,2,1,1,1,1,1,0,0,1,1,1,1,2,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,2,1,1,1,0,1,2,0,1,0,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,0,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,2,1,1,1,1,0,1,1,2,1,0,2,0,1,1,1,2,2,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,2,1,2,1,1,2,1,1,1,2,1,1,1,0,1,1,0,1,1,1,2,1,0,0,1,1,1,0,1,2,2,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,0,2,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,2,1,2,2,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,2,1,1,0,1,1,2,1,2,1,1,1,2,1,2,1,1,1,0,1,1,1,1,0,2,1,0,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2"
heuristic,5,1843824992,10464,1024,613,False,309.0,548.0,,"1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,2,1,1,1,0,2,1,1,0,0,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,0,0,1,2,1,0,1,1,2,1,2,1,0,1,0,1,1,2,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,2,1,0,2,1,1,0,1,0,1,2,2,2,1,1,2,1,1,2,1,2,0,1,1,2,2,1,0,1,1,1,0,1,2,1,2,2,1,1,1,0,0,0,1,2,1,1,2,1,0,1,2,1,1,0,1,1,0,1,2,1,1,2,1,2,1,2,1,2,1,0,1,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2,0,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,0,1,2,1,2,1,2,0,1,0,1,1,1,0,1,1,1,1,0,1,2,1,2,1,0,0,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,0,0,1,2,1,1,2,2,2,1,0,0,0,0,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,0,1,2,1,1,0,0,1,0,1,1,0,2,1,0,0,0,0,1,1,2,1,0,1,1,2,1,2,2,2,2,1,0,0,1,2,1,0,1,0,1,0,1,0,2,1,1,2,1,0,1,1,2,1,1,0,1,1,2,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,0,1,1,2,1,1,0,0,0,0,0,1,0,0,2,1,0,1,2,2,1,0,0,1,1,0,1,0,1,2,1,0,2,1,1,2,1,1,1,2,1,1,1,1,0,1,1,0,1,2,1,0,1,1,1,0,1,0,1,1,0,0,1,2,1,2,1,1,2,1,0,1,1,2,2,1,2,1,0,1,2,2,1,0,0,1,0,1,2,2,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,2,1,2,2,1,1,2,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,2,1,1,0,1,0,0,1,0,0,1,0,1,2,2,2"
heuristic,6,184566854,7316,512,508,False,238.0,,,"1,0,1,0,0,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,0,1,1,1,0,1,1,1,1,0,0,1,2,0,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,0,2,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,0,1,2,1,0,1,1,1,2,2,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,0,2,1,0,1,2,1,0,1,0,1,0,1,1,2,0,1,1,1,0,1,2,0,1,2,1,1,2,1,1,0,0,1,2,1,1,1,1,0,1,1,2,0,1,2,2,1,0,1,2,1,1,1,2,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,1,1,2,1,2,1,1,0,2,1,2,2,1,0,0,1,2,1,0,1,0,1,1,1,1,2,1,0,1,1,1,0,1,1,2,1,1,0,1,0,1,1,2,1,1,1,2,1,1,2,1,0,0,2,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,0,1,2,1,1,1,1,2,1,0,1,1,2,1,1,1,1,0,1,0,1,0,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,0,1,1,1,1,2,2,1,0,1,0,1,2,0,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,2,1,1,1,0,0,1,2,0,1,0,2,0,2,1,1,1,0,1,0,0,2,1,1,2,1,1,0,1,2,0,1,2,1,0,1,0,1,0,1,2,2,2,2,1,1,1,0,1,2,1,2,1,2,2,0,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,0,1,2,2,2,2,2,0"
heuristic,7,1497586438,5568,512,385,False,250.0,,,"1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,0,0,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,0,0,1,1,1,1,2,1,0,1,1,0,1,2,1,1,2,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,1,2,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,2,1,0,1,2,1,2,0,0,1,2,1,0,1,2,1,1,2,1,1,0,1,1,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,0,0,1,0,1,1,2,1,1,2,1,0,1,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,0,1,2,1,2,1,2,1,1,0,0,2,1,1,2,0,1,1,2,0,1,1,1,2,0,1,0,1,2,1,0,1,1,2,1,0,1,0,2,1,0,1,1,1,2,1,0,0,2,0,2,1,1,1,0,1,0,1,1,0,1,0,0,1,1,3,1,1,0,1,1,1,2,1,2,1,1,1,2,1,1,0,1,3,1,2,1,2,1,1,1,0,1,0,1,1,1,2,1,0,1,1,1,1,1,0,2,1,1,1,2,2,1,1,1,2,0,1,2,1,0,1,2,1,1,2,1,1,2,1,1,0,1,2,2,0,2,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,0,0,1,0,1,2,1,0,1,0,1,1,2,2,1,2,2,1,0,2,1,1,2,1,2,1,1,2,1,1,0,1,1,1,2,1,2,2,2,2,0,1,1,2,2,0"
heuristic,8,432652533,3920,256,320,False,,,,"1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,2,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,1,0,1,0,1,1,2,1,1,1,1,1,1,1,0,1,2,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,2,1,1,1,0,1,1,0,2,1,1,2,1,0,0,1,2,1,1,1,0,1,0,1,1,1,2,1,2,1,1,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,1,1,2,1,0,1,0,0,2,1,0,2,2,1,0,0,1,1,0,1,2,1,1,0,1,1,0,1,0,0,1,0,0,2,1,0,0,1,2,1,0,1,1,0,1,1,0,0,1,2,1,0,1,1,0,0,1,2,2,0,2,1,2,1,0,1,1,2,1,1,0,1,2,1,0,0,1,1,1,1,0,2,1,2,1,2,2,2,1,0,0,1,1,0,1,1,1,0,1,1,2,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,2,1,2,1,0,0,1,0,1,1,0,2,0,1,1,2,2,1,0,0,1,1,1,0,1,1,0,2,1,2,0,0,2,2,2,1,2"
heuristic,9,202244314,5448,512,383,False,343.0,,,"1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,2,1,1,3,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,2,1,2,1,1,2,1,1,2,1,2,1,0,1,1,1,2,1,1,0,1,0,2,1,0,1,1,1,1,1,1,2,1,1,2,1,0,1,1,1,2,2,1,1,1,0,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,0,2,1,1,2,1,1,1,2,2,1,1,0,1,0,1,2,1,2,1,2,1,1,0,0,1,0,1,1,1,2,2,1,1,1,2,0,2,1,2,1,1,2,1,0,1,1,2,1,1,1,2,1,1,0,1,1,2,1,2,1,2,2,0,1,2,1,2,1,1,1,0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,0,1,1,2,2,1,2,2,1,1,1,0,1,2,1,0,2,2,1,2,0,1,2,1,1,1,2,1,1,0,1,2,1,2,1,1,1,2,2,1,0,2,1,2,1,1,1,0,1,1,0,1,1,1,1,0,1,2,1,1,2,1,2,1,1,2,1,1,1,1,0,1,2,1,2,1,0,1,1,1,2,1,0,1,0,0,1,1,0,1,1,2,2,2,1,1,2,2,1,1,1,2,1,0,1,0,2,1,1,1,0,1,0,1,2,1,0,1,2,1,0,1,2,1,0,0,1,2,1,2,1,1,2,1,0,1,0,1,1,2,1,1,0,0,2,1,0,1,0,1,1,2,1,0,0,0,1,2,1,1,1,1,0,2,2,2"
